sample_id,source_file,sha256,source_format,width,height,resized_width,resized_height,crop_x0,crop_y0,caption,dup_group,dev200_idx,subset500
00088,DIV8K/train_HR/0895.png,6c6d18885d4f4ae9ea7e4c2f1d277e402dd6a06e8239bc1ec981ec33b164f85e,PNG,6720,4416,3117,2048,534,0,,,,
00089,DIV8K/train_HR/1482.png,5be1a449376ebb5cfac068f558458a93f2b1b70d5a498aeed612b852a5204bf4,PNG,7680,4992,3151,2048,551,0,,,,
00090,DIV8K/train_HR/1396.png,8f8e9a4d63db6f8f3df4467c36bfc760c68b3318b4dc614239dfdc0de488bd51,PNG,6720,4800,2867,2048,409,0,,,,
00091,DIV8K/train_HR/0862.png,403a7d19eef903afa322c460e9d1fbbe083d319afbc05cba67dd8acd30f674da,PNG,6720,4416,3117,2048,534,0,,,,
00092,DIV8K/train_HR/0150.png,a23b16847f94e557479e3969ea7818a01a6e6473cef20db4a65a1711588ca516,PNG,5760,2688,4389,2048,1170,0,,,,
00093,DIV8K/train_HR/0032.png,9a2c6c8f97893684a7ba76e7cd5d12f094f9d85bee8d0cb7e7203bf987f9af88,PNG,3840,5760,2048,3072,0,512,,,,
00094,DIV8K/train_HR/1135.png,5eef368bbd1730bedcc7beaad099c5a446f153b87c102f97f6fd37c1ac318845,PNG,6720,4416,3117,2048,534,0,,,,
00095,DIV8K/train_HR/1022.png,e971c36f909b325629f0133deff13e82cf9b2533553c1008223431c66c008c9b,PNG,6720,4416,3117,2048,534,0,,,,
00096,DIV8K/train_HR/0100.png,a4d4bd0405d3bd9aae728f84334845a61f76430c83d22689adc0c22b71280cc2,PNG,5760,3840,3072,2048,512,0,,,,
00097,DIV8K/train_HR/0712.png,f326210c81d92a36051379002b0352def1f30f411b8e60ee45f91f58af2fcc6a,PNG,2688,3264,2048,2487,0,219,,,,
00098,DIV8K/train_HR/1010.png,f6a4c6f59afff947a8f55e0205a4cdde1db2935fdab752898995e438ba448e49,PNG,6720,4416,3117,2048,534,0,,,,
00099,DIV8K/train_HR/0728.png,a0823bf1973b985c9dfb01356eea541796a48a31fc9e147ff2070ad282977887,PNG,6720,4416,3117,2048,534,0,,,,
00100,DIV8K/train_HR/1311.png,bdfae883463ba55a7b5e756b34357226749f7c88d896a983afda71b5eadf797a,PNG,6720,4416,3117,2048,534,0,,,,
00101,DIV8K/train_HR/0868.png,ee2d0a5ce59b546e4b33afec0b46928d67456e185840bba27614dcb05516d24c,PNG,6720,4416,3117,2048,534,0,,,,
00102,DIV8K/train_HR/0869.png,9bc0aa6de576fd9f44d39fc5d143b7c9b331d7893b418426ff450421c78cd972,PNG,4416,6720,2048,3117,0,534,,,,
00103,DIV8K/train_HR/0832.png,43d7f74554b406e1984e1323405f2a10c5e0bbdb387381f76322d8cf44cbf7df,PNG,6720,4608,2987,2048,469,0,,,,
00104,DIV8K/train_HR/1244.png,1465fa00b85254def1152f4e488f06019d30bb0749ac82a8b2ffb2a657215097,PNG,6720,4416,3117,2048,534,0,,,,
00105,DIV8K/train_HR/1218.png,1b580fd390f5090697a4f96905d400faf75422202d3f5d2caacaccc676b3f2da,PNG,6720,4416,3117,2048,534,0,,,,
00106,DIV8K/train_HR/1226.png,743c50abbeb85b3c02b59364f2a8830992eea610787e48a5ecc49c15ca198a00,PNG,6720,4416,3117,2048,534,0,,,,
00107,DIV8K/train_HR/0665.png,d7b07047f1a48b62729bde07f02bce0dbf8b512ef12f5af66511f058016f9272,PNG,3264,2112,3165,2048,558,0,,,,
00108,DIV8K/train_HR/0746.png,2c3e4ece744d199da5dd0c07955bbd4931d702af610aae7db360d1cdb01c74d1,PNG,6720,4416,3117,2048,534,0,,,,
00109,DIV8K/train_HR/0644.png,982263abfe6ae7f207685506a09eb5b2be905a05ab70e73d4e2decacff71fa3e,PNG,2112,3264,2048,3165,0,558,,,,
00110,DIV8K/train_HR/0490.png,2de92117c9d05e3df93dc5ce1356f21ce0ee09fa37e1f3dec22635b344b29525,PNG,6720,6720,2048,2048,0,0,,,,
00111,DIV8K/train_HR/0795.png,3606764f847740af9abb2f11aaceab4b6e024a1ddc6e20cd3b59b0be7884e7de,PNG,6720,2304,5973,2048,1962,0,,,,
00112,DIV8K/train_HR/1094.png,342a75cae96082b134dd5dd40e06195ba5e35d5f3b022d185f667498221396f9,PNG,6720,6720,2048,2048,0,0,,,,
00113,DIV8K/train_HR/1455.png,c827ae40ec7260b437541928149fe05de1613b26dab21dd58262291db823829b,PNG,4992,7680,2048,3151,0,551,,,,
00114,DIV8K/train_HR/1480.png,71f5656320504e76706bf28c5954d017e8cd642d591b129b3f32d05fc624eb3e,PNG,7680,4992,3151,2048,551,0,,,,
00115,DIV8K/train_HR/0966.png,5bab70e29de33b349c3544ae71b8f860396f2776dc54e7f2a988413a9780da4e,PNG,6720,4416,3117,2048,534,0,,,,
00116,DIV8K/train_HR/1466.png,7b041177bbf1c2ce228550417390e26b559532674ad97441f2bb0ca009c9c021,PNG,7680,4992,3151,2048,551,0,,,,
00117,DIV8K/train_HR/1185.png,513ca10a7234afec9357e693ca82b28932e80f079d6b6e93ac129eb97825dfee,PNG,6720,4416,3117,2048,534,0,,,,
00118,DIV8K/train_HR/1454.png,2925f5ec47b3f22c26524b50b2c6cde20cd829df6c0bc5767da6709efbbc73ad,PNG,4992,7680,2048,3151,0,551,,,,
00119,DIV8K/train_HR/1423.png,1c081d84e238fd197b787709f163a6aaa7941c0e7d754bee93e034a68cbe128c,PNG,7680,4992,3151,2048,551,0,,,,
00120,DIV8K/train_HR/0483.png,23b5b7d4e0d523f5c78aa63eb943c09c48aac7d640f03c5051166c232ab4e037,PNG,6720,4416,3117,2048,534,0,,,,
00121,DIV8K/train_HR/1490.png,724e8c27ce25b17ff1ff22cfcdf8891a3139c4e6799cecb3cdf5696c76425348,PNG,4992,7680,2048,3151,0,551,,,,
00122,DIV8K/train_HR/1489.png,60936c47e51911791109433342c624307453cda95412da92422356e0dda3d1fd,PNG,7680,4224,3724,2048,838,0,,,,
00123,DIV8K/train_HR/0727.png,9cdb5c762d02e1b57ee01f6d7d591e63eb994e2f408f97c26321409f225d4bcb,PNG,6720,4416,3117,2048,534,0,,,,
00124,DIV8K/train_HR/0871.png,8856ba27679bc9224c4e6f1e209a2149391cdc291916d0b8947ee57825cac7e6,PNG,6720,4416,3117,2048,534,0,,,,
00125,DIV8K/train_HR/0181.png,1ef5ff19f8d3e35f3d332326e3d3113a1cd535bb35b9c79a4d1bcd0d79aec130,PNG,2304,2880,2048,2560,0,256,,,,
00126,DIV8K/train_HR/0615.png,973d5c360b0cfc17ab6b32c52db1300294b3aedc735bb53d5ab72c9d4b67b90c,PNG,2112,3264,2048,3165,0,558,,,,
00127,DIV8K/train_HR/0700.png,e254d022cbcd0f71730f09b63d59c92e4ebacb6288e767332bedc35fd2052d18,PNG,6720,4416,3117,2048,534,0,,,,
00128,DIV8K/train_HR/0814.png,9ac2e1bc6fdc395a6c7920d199698a00f8875fa165a6a81799802b659c135f8b,PNG,4416,6720,2048,3117,0,534,,,,
00129,DIV8K/train_HR/0500.png,4e6871f2d70b5fea87d8acd45229fd5ed683fc5348b1a30f4aaa5283661d3654,PNG,6720,4416,3117,2048,534,0,,,,
00130,DIV8K/train_HR/0898.png,0bc8df1b7967d2a42100ff60499ed4df767b610b3c913f328d6e64c1e6f50f1a,PNG,3264,2112,3165,2048,558,0,,,,
00131,DIV8K/train_HR/0494.png,0fc8ffcef5fd58543007916c739011522dbeaa102c15401912185c67ac4a6a7b,PNG,5760,6720,2048,2389,0,170,,,,
00132,DIV8K/train_HR/0331.png,78cae75ba821edd367728566572a6ab8dec28469a0be2d4aeba58190d0d0627b,PNG,5760,3840,3072,2048,512,0,,,,
00133,DIV8K/train_HR/1284.png,bd865036fac8b5ef29c5a1dd6d330c2f9ba07b3e906d097e393899db3c39d63c,PNG,6720,4416,3117,2048,534,0,,,,
00134,DIV8K/train_HR/1457.png,832e59d3a420aaf9c0eb1ab19aa1e4b0cb64bba5d816fe9d061cba0049231fb2,PNG,4992,7680,2048,3151,0,551,,,,
00135,DIV8K/train_HR/0598.png,35a78a06f11a33bcb08f903cde4ef86cc7b9cfc2dea15eca7a3090892019c88f,PNG,6720,4416,3117,2048,534,0,,,,
00136,DIV8K/train_HR/1374.png,fff59a2bc734d78f287c770e80a095574fe5f48e3ea3c2c041e4ead2dc7852f9,PNG,6720,2688,5120,2048,1536,0,,,,
00137,DIV8K/train_HR/0428.png,a07d0d7d5e9ee8dae6db8afd5bd49a5ceb913e6b94e449c79fcac472fa28044f,PNG,5760,3072,3840,2048,896,0,,,,
00138,DIV8K/train_HR/1426.png,f308e9cd47cd63ef5628bcc5e1e34ab01009bf2a0c359950fca827cf6d03dc0f,PNG,7680,4992,3151,2048,551,0,,,,
00139,DIV8K/train_HR/0725.png,32ecc6b951a774d6f97a3e7679644ffa61924fd9d2b04fa7bd7938a6d92c588c,PNG,6720,4416,3117,2048,534,0,,,,
00140,DIV8K/train_HR/0463.png,ef6a23d2a026aceda23749da803188b5067887532e035a64a7be20a7547fb328,PNG,5760,2880,4096,2048,1024,0,,,,
00141,DIV8K/train_HR/1160.png,17ac6cbab068a2ff1d6f12ccbe9205e5a1df43769867362c49cfb0862862a244,PNG,6720,4416,3117,2048,534,0,,,,
00142,DIV8K/train_HR/1299.png,1c5d531197d7a5a61a6a87892d9a32352ec8cf883c66f0a23b04e6db25b0e507,PNG,6720,3456,3982,2048,967,0,,,,
00143,DIV8K/train_HR/1001.png,24f8c1199b681dac14cd9c0174cf2222ac7b378e8090a1cfcc74686a6a3c150d,PNG,6720,4416,3117,2048,534,0,,,,
00144,DIV8K/train_HR/1193.png,d7b895086b024e7e96201fa8c922d03bdf16fb35fd0f2dfac0e0792ae296c60c,PNG,4416,6720,2048,3117,0,534,,,,
00145,DIV8K/train_HR/1118.png,70bc3f8d17be642b90962e83563bee703bf95d99c0f2e73f1be84c08befa5ffa,PNG,4416,6720,2048,3117,0,534,,,,
00146,DIV8K/train_HR/0408.png,40f28a8d2761d1432b2bfae75538e9d0c24f25f36954bb65b936c9947a3bf24b,PNG,5760,4032,2926,2048,439,0,,,,
00147,DIV8K/train_HR/1242.png,7e8b4bf8943842b355ca92a26912baaae887d94f1a2172bb56e1b3df1625f41f,PNG,6720,4416,3117,2048,534,0,,,,
00148,DIV8K/train_HR/0488.png,8a3a2e1af5547967981735ec855d3512cc78a74d67dd707c836f304e5005151f,PNG,6720,6720,2048,2048,0,0,,,,
00149,DIV8K/train_HR/1169.png,ed1d6535a4bb0ecfbda0d82c7cf20b9c74ce92c5aced56a4656306e18b1c8998,PNG,4416,6720,2048,3117,0,534,,,,
00150,DIV8K/train_HR/1035.png,3900f20d92ba86bbf85526baff6eb3bc1929b4e70f184e4809a7811307329d00,PNG,6720,4416,3117,2048,534,0,,,,
00151,DIV8K/train_HR/0784.png,eb8b6c57b78438b1c737bb9c71cb860bdae0e8354b4d389853417ecd33810eee,PNG,6720,4416,3117,2048,534,0,,,,
00152,DIV8K/train_HR/1136.png,8472a2d29188b651f21deebb8af1ef169df8caf9e8ecbdf102a28486b4406fa2,PNG,3264,2112,3165,2048,558,0,,,,
00153,DIV8K/train_HR/1213.png,e99ca4eb159a20a18ce8c72375f4f3bb28b5507e3073a9c4d2b99fe6b561c3d3,PNG,6720,3264,4216,2048,1084,0,,,,
00154,DIV8K/train_HR/0232.png,846c7535c3d6d9c6bd9495974b6e967b2a7deeec805838d8462afb3830eb6216,PNG,3840,5760,2048,3072,0,512,,,,
00155,DIV8K/train_HR/1006.png,22280da67c4427911ce097dd588b78b350348b0072814041a4980ce5104151c0,PNG,6720,4416,3117,2048,534,0,,,,
00156,DIV8K/train_HR/0292.png,7b95aa72d96c0de555444db0205996bddcd3474eb2d228738ca4e837519b8d9d,PNG,5760,3456,3413,2048,682,0,,,,
00157,DIV8K/train_HR/0286.png,94804774003d19db8a639a3ffc7577f972d2ee1003ca72c51ccc03614feb79ef,PNG,5760,2304,5120,2048,1536,0,,,,
00158,DIV8K/train_HR/1230.png,91de46286c0e4c9d2b2cfb0632305e09414cb8af0d6a96c153128a3bcc55bb5d,PNG,6720,4416,3117,2048,534,0,,,,
00159,DIV8K/train_HR/0755.png,af78b461f7af4f89cdd14ae44630be94008c5f89cc79c4d4fd10e86103d00483,PNG,2112,3264,2048,3165,0,558,,,,
00160,DIV8K/train_HR/1452.png,93edcbae2de7a9cf8a035a00598167a51d211e1bbeea5f0bdafa63c632fedbed,PNG,7680,4992,3151,2048,551,0,,,,
00161,DIV8K/train_HR/0593.png,d28d4ca4c108215f10bd873502fcf69fe435033031a875e5303edb99d93697ef,PNG,6720,4416,3117,2048,534,0,,,,
